SIHcode,City name,IBGE code,,,,
210232,BURITICUPU,2102325,,,,
210235,BURITIRANA,2102358,,,,
210237,CACHOEIRA GRANDE,2102374,,,,
210240,CAJAPIO,2102408,,,,
210250,CAJARI,2102507,,,,
210255,CAMPESTRE DO MARANHAO,2102556,,,,
210260,CANDIDO MENDES,2102606,,,,
210270,CANTANHEDE,2102705,,,,
210275,CAPINZAL DO NORTE,2102754,,,,
210280,CAROLINA,2102804,,,,
210290,CARUTAPERA,2102903,,,,
210300,CAXIAS,2103000,,,,
210310,CEDRAL,2103109,,,,
210312,CENTRAL DO MARANHAO,2103125,,,,
210315,CENTRO DO GUILHERME,2103158,,,,
210317,CENTRO NOVO DO MARANHAO,2103174,,,,
210320,CHAPADINHA,2103208,,,,
210325,CIDELANDIA,2103257,,,,
210330,CODO,2103307,,,,
210340,COELHO NETO,2103406,,,,
210350,COLINAS,2103505,,,,
210355,CONCEICAO DO LAGO-ACU,2103554,,,,
210360,COROATA,2103604,,,,
210370,CURURUPU,2103703,,,,
210375,DAVINOPOLIS,5206909,,,,
210380,DOM PEDRO,2103802,,,,
210390,DUQUE BACELAR,2103901,,,,
210400,ESPERANTINOPOLIS,2104008,,,,
210405,ESTREITO,2104057,,,,
210407,FEIRA NOVA DO MARANHAO,2104073,,,,
210408,FERNANDO FALCAO,2104081,,,,
210409,FORMOSA DA SERRA NEGRA,2104099,,,,
210410,FORTALEZA DOS NOGUEIRAS,2104107,,,,
210420,FORTUNA,2104206,,,,
210430,GODOFREDO VIANA,2104305,,,,
210440,GONCALVES DIAS,2104404,,,,
210450,GOVERNADOR ARCHER,2104503,,,,
210455,GOVERNADOR EDISON LOBAO,2104552,,,,
210460,GOVERNADOR EUGENIO BARROS,2104602,,,,
210462,GOVERNADOR LUIZ ROCHA,2104628,,,,
210465,GOVERNADOR NEWTON BELLO,2104651,,,,
210467,GOVERNADOR NUNES FREIRE,2104677,,,,
210470,GRACA ARANHA,2104701,,,,
210480,GRAJAU,2104800,,,,
210490,GUIMARAES,2104909,,,,
210500,HUMBERTO DE CAMPOS,2105005,,,,
210510,ICATU,2105104,,,,
210515,IGARAPE DO MEIO,2105153,,,,
210520,IGARAPE GRANDE,2105203,,,,
210530,IMPERATRIZ,2105302,,,,
210535,ITAIPAVA DO GRAJAU,2105351,,,,
210540,ITAPECURU MIRIM,2105401,,,,
210542,ITINGA DO MARANHAO,2105427,,,,
210545,JATOBA,2105450,,,,
210547,JENIPAPO DOS VIEIRAS,2105476,,,,
210550,JOAO LISBOA,2105500,,,,
210560,JOSELANDIA,2105609,,,,
210565,JUNCO DO MARANHAO,2105658,,,,
210570,LAGO DA PEDRA,2105708,,,,
210580,LAGO DO JUNCO,2105807,,,,
210590,LAGO VERDE,2105906,,,,
210592,LAGOA DO MATO,2105922,,,,
210594,LAGO DOS RODRIGUES,2105948,,,,
210596,LAGOA GRANDE DO MARANHAO,2105963,,,,
210598,LAJEADO NOVO,2105989,,,,
210600,LIMA CAMPOS,2106003,,,,
210610,LORETO,2106102,,,,
210620,LUIS DOMINGUES,2106201,,,,
210630,MAGALHAES DE ALMEIDA,2106300,,,,
210632,MARACACUME,2106326,,,,
210635,MARAJA DO SENA,2106359,,,,
210637,MARANHAOZINHO,2106375,,,,
210640,MATA ROMA,2106409,,,,
210650,MATINHA,2106508,,,,
210660,MATOES,2106607,,,,
210663,MATOES DO NORTE,2106631,,,,
210667,MILAGRES DO MARANHAO,2106672,,,,
210670,MIRADOR,2106706,,,,
210675,MIRANDA DO NORTE,2106755,,,,
210680,MIRINZAL,2106805,,,,
210690,MONCAO,2106904,,,,
210700,MONTES ALTOS,2107001,,,,
210710,MORROS,2107100,,,,
210720,NINA RODRIGUES,2107209,,,,
210725,NOVA COLINAS,2107258,,,,
210730,NOVA IORQUE,2107308,,,,
210735,NOVA OLINDA DO MARANHAO,2107357,,,,
210740,OLHO D'AGUA DAS CUNHAS,2107407,,,,
210745,OLINDA NOVA DO MARANHAO,2107456,,,,
210750,PACO DO LUMIAR,2107506,,,,
210760,PALMEIRANDIA,2107605,,,,
210770,PARAIBANO,2107704,,,,
210780,PARNARAMA,2107803,,,,
210790,PASSAGEM FRANCA,2107902,,,,
210800,PASTOS BONS,2108009,,,,
210805,PAULINO NEVES,2108058,,,,
210810,PAULO RAMOS,2108108,,,,
210820,PEDREIRAS,2108207,,,,
210825,PEDRO DO ROSARIO,2108256,,,,
210830,PENALVA,2108306,,,,
210840,PERI MIRIM,2108405,,,,
210845,PERITORO,2108454,,,,
210850,PINDARE-MIRIM,2108504,,,,
210860,PINHEIRO,2108603,,,,
210870,PIO XII,2108702,,,,
210880,PIRAPEMAS,2108801,,,,
210890,POCAO DE PEDRAS,2108900,,,,
210900,PORTO FRANCO,2109007,,,,
210905,PORTO RICO DO MARANHAO,2109056,,,,
210910,PRESIDENTE DUTRA,2925600,,,,
210920,PRESIDENTE JUSCELINO,2109205,,,,
210923,PRESIDENTE MEDICI,2109239,,,,
210927,PRESIDENTE SARNEY,2109270,,,,
210930,PRESIDENTE VARGAS,2109304,,,,
210940,PRIMEIRA CRUZ,2109403,,,,
210945,RAPOSA,2109452,,,,
210950,RIACHAO,2109502,,,,
210955,RIBAMAR FIQUENE,2109551,,,,
210960,ROSARIO,2109601,,,,
210970,SAMBAIBA,2109700,,,,
210975,SANTA FILOMENA DO MARANHAO,2109759,,,,
210980,SANTA HELENA,2109809,,,,
210990,SANTA INES,2927903,,,,
211000,SANTA LUZIA,2928059,,,,
211003,SANTA LUZIA DO PARUA,2110039,,,,
211010,SANTA QUITERIA DO MARANHAO,2110104,,,,
211020,SANTA RITA,2110203,,,,
211023,SANTANA DO MARANHAO,2110237,,,,
211027,SANTO AMARO DO MARANHAO,2110278,,,,
211030,SANTO ANTONIO DOS LOPES,2110302,,,,
211040,SAO BENEDITO DO RIO PRETO,2110401,,,,
211050,SAO BENTO,2110500,,,,
211060,SAO BERNARDO,2110609,,,,
211065,SAO DOMINGOS DO AZEITAO,2110658,,,,
211070,SAO DOMINGOS DO MARANHAO,2110708,,,,
211080,SAO FELIX DE BALSAS,2110807,,,,
211085,SAO FRANCISCO DO BREJAO,2110856,,,,
211090,SAO FRANCISCO DO MARANHAO,2110906,,,,
211100,SAO JOAO BATISTA,2111003,,,,
211102,SAO JOAO DO CARU,2111029,,,,
211105,SAO JOAO DO PARAISO,2111052,,,,
211107,SAO JOAO DO SOTER,2111078,,,,
211110,SAO JOAO DOS PATOS,2111102,,,,
211120,SAO JOSE DE RIBAMAR,2111201,,,,
211125,SAO JOSE DOS BASILIOS,2111250,,,,
211130,SAO LUIS,2111300,,,,
